Participant Private ID,Task Name,Product,Response_1,Response_2,Response_3,Response_4
13415287,None_cue,no_hed_choc.png,25,Somewhat likely,Fairly valuable,Trust fairly well
13415287,None_cue,no_hed_hd.png,50,Somewhat likely,Somewhat valuable,Neutral
13415287,None_cue,no_uti_choc.png,10,Somewhat likely,Fairly valuable,Trust fairly well
13415287,None_cue,no_uti_hd.png,20,Unlikely,Slightly valuable,Trust somewhat
13415294,Both_cue,both_hed_choc.png,16,Unlikely,Slightly valuable,Trust very little
13415294,Both_cue,both_hed_hd.png,120,Neutral,Moderately valuable,Neutral
13415294,Both_cue,both_uti_choc.png,12,Neutral,Somewhat valuable,Trust somewhat
13415294,Both_cue,both_uti_hd.png,80,Unlikely,Slightly valuable,Trust somewhat
13415326,Popularity_cue,popularity_hed_choc.png,7,Somewhat likely,Moderately valuable,Trust fairly well
13415326,Popularity_cue,popularity_hed_hd.png,50,Likely,Fairly valuable,Trust fairly well
13415326,Popularity_cue,popularity_uti_choc.png,3,Likely,Somewhat valuable,Trust fairly well
13415326,Popularity_cue,popularity_uti_hd.png,25,Somewhat unlikely,Somewhat valuable,Trust fairly well
13415333,Scarcity_cue,scarcity_hed_choc.png,5,Somewhat unlikely,Somewhat valuable,Neutral
13415333,Scarcity_cue,scarcity_hed_hd.png,50,Unlikely,Somewhat valuable,Trust somewhat
13415333,Scarcity_cue,scarcity_uti_choc.png,2,Unlikely,Slightly valuable,Trust very little
13415333,Scarcity_cue,scarcity_uti_hd.png,80,Somewhat likely,Fairly valuable,Trust somewhat
13415354,Popularity_cue,popularity_hed_choc.png,6,Unlikely,Somewhat valuable,Trust very little
13415354,Popularity_cue,popularity_hed_hd.png,8,Very unlikely,Fairly valuable,Neutral
13415354,Popularity_cue,popularity_uti_choc.png,3,Neutral,Slightly valuable,Trust somewhat
13415354,Popularity_cue,popularity_uti_hd.png,50,Likely,Somewhat valuable,Trust fairly well
13415615,Scarcity_cue,scarcity_hed_choc.png,10,Unlikely,Somewhat valuable,Neutral
13415615,Scarcity_cue,scarcity_hed_hd.png,100,Unlikely,Moderately valuable,Neutral
13415615,Scarcity_cue,scarcity_uti_choc.png,1.5,Unlikely,Not valuable at all,Neutral
13415615,Scarcity_cue,scarcity_uti_hd.png,20,Very unlikely,Slightly valuable,Neutral
13415624,None_cue,no_hed_choc.png,3,Somewhat unlikely,Slightly valuable,Neutral
13415624,None_cue,no_hed_hd.png,150,Somewhat likely,Fairly valuable,Trust fairly well
13415624,None_cue,no_uti_choc.png,2,Very unlikely,Slightly valuable,Trust very little
13415624,None_cue,no_uti_hd.png,40,Unlikely,Slightly valuable,Trust a lot
13415740,Popularity_cue,popularity_hed_choc.png,10,Somewhat likely,Very valuable,Trust a lot
13415740,Popularity_cue,popularity_hed_hd.png,100,Somewhat likely,Very valuable,Trust a lot
13415740,Popularity_cue,popularity_uti_choc.png,10,Somewhat likely,Very valuable,Trust a lot
13415740,Popularity_cue,popularity_uti_hd.png,100,Somewhat likely,Very valuable,Trust a lot
13415801,Scarcity_cue,scarcity_hed_choc.png,15,Very unlikely,Slightly valuable,Trust somewhat
13415801,Scarcity_cue,scarcity_hed_hd.png,50,Very unlikely,Somewhat valuable,Trust very little
13415801,Scarcity_cue,scarcity_uti_choc.png,7,Very unlikely,Slightly valuable,Trust very little
13415801,Scarcity_cue,scarcity_uti_hd.png,20,Very unlikely,Slightly valuable,Trust very little
13416249,None_cue,no_hed_choc.png,5,Very unlikely,Not valuable at all,Trust somewhat
13416249,None_cue,no_hed_hd.png,50,Very unlikely,Not valuable at all,Trust very little
13416249,None_cue,no_uti_choc.png,2,Very unlikely,Not valuable at all,Trust very little
13416249,None_cue,no_uti_hd.png,50,Somewhat unlikely,Somewhat valuable,Trust somewhat
13416442,Popularity_cue,popularity_hed_choc.png,7.5,Somewhat likely,Slightly valuable,Trust fairly well
13416442,Popularity_cue,popularity_hed_hd.png,30,Somewhat unlikely,Fairly valuable,Trust somewhat
13416442,Popularity_cue,popularity_uti_choc.png,5,Somewhat likely,Slightly valuable,Trust a lot
13416442,Popularity_cue,popularity_uti_hd.png,30,Somewhat unlikely,Fairly valuable,Trust somewhat
13416489,Scarcity_cue,scarcity_hed_choc.png,0,Very unlikely,Somewhat valuable,Trust somewhat
13416489,Scarcity_cue,scarcity_hed_hd.png,0,Very unlikely,Somewhat valuable,Trust somewhat
13416489,Scarcity_cue,scarcity_uti_choc.png,10,Likely,Moderately valuable,Neutral
13416489,Scarcity_cue,scarcity_uti_hd.png,10,Unlikely,Somewhat valuable,Trust somewhat
