Participant_ID,Condition,Context,Product,Payment,Intent,Value,Trust
13405085,scarcity,utilitarian,chocolate,0.0,1,1,3
13405085,scarcity,utilitarian,headphones,20.0,3,1,4
13405319,no,hedonic,chocolate,20.0,4,2,7
13405319,no,hedonic,headphones,100.0,3,3,6
13405319,no,utilitarian,chocolate,10.0,1,1,2
13405319,no,utilitarian,headphones,60.0,1,2,4
13406503,both,hedonic,chocolate,20.0,3,2,3
13406503,both,hedonic,headphones,110.0,4,5,5
13406503,both,utilitarian,chocolate,10.0,5,1,3
13406503,both,utilitarian,headphones,100.0,4,4,5
13414608,both,hedonic,chocolate,50.0,4,4,4
13414608,both,hedonic,headphones,200.0,4,4,4
13414608,both,utilitarian,chocolate,7.0,3,4,5
13414608,both,utilitarian,headphones,125.0,4,4,4
13415287,no,hedonic,chocolate,25.0,5,5,5
13415287,no,hedonic,headphones,50.0,5,3,4
13415287,no,utilitarian,chocolate,10.0,5,5,5
13415287,no,utilitarian,headphones,20.0,2,2,3
13415294,both,hedonic,chocolate,16.0,2,2,2
13415294,both,hedonic,headphones,120.0,4,4,4
13415294,both,utilitarian,chocolate,12.0,4,3,3
13415294,both,utilitarian,headphones,80.0,2,2,3
13415326,popularity,hedonic,chocolate,7.0,5,4,5
13415326,popularity,hedonic,headphones,50.0,6,5,5
13415326,popularity,utilitarian,chocolate,3.0,6,3,5
13415326,popularity,utilitarian,headphones,25.0,3,3,5
13415333,scarcity,hedonic,chocolate,5.0,3,3,4
13415333,scarcity,hedonic,headphones,50.0,2,3,3
13415333,scarcity,utilitarian,chocolate,2.0,2,2,2
13415333,scarcity,utilitarian,headphones,80.0,5,5,3
13415354,popularity,hedonic,chocolate,6.0,2,3,2
13415354,popularity,hedonic,headphones,8.0,1,5,4
13415354,popularity,utilitarian,chocolate,3.0,4,2,3
13415354,popularity,utilitarian,headphones,50.0,6,3,5
13415615,scarcity,hedonic,chocolate,10.0,2,3,4
13415615,scarcity,hedonic,headphones,100.0,2,4,4
13415615,scarcity,utilitarian,chocolate,1.5,2,1,4
13415615,scarcity,utilitarian,headphones,20.0,1,2,4
13415624,no,hedonic,chocolate,3.0,3,2,4
13415624,no,hedonic,headphones,150.0,5,5,5
13415624,no,utilitarian,chocolate,2.0,1,2,2
13415624,no,utilitarian,headphones,40.0,2,2,6
13415740,popularity,hedonic,chocolate,10.0,5,6,6
13415740,popularity,hedonic,headphones,100.0,5,6,6
13415740,popularity,utilitarian,chocolate,10.0,5,6,6
13415740,popularity,utilitarian,headphones,100.0,5,6,6
13415801,scarcity,hedonic,chocolate,15.0,1,2,3
13415801,scarcity,hedonic,headphones,50.0,1,3,2
13415801,scarcity,utilitarian,chocolate,7.0,1,2,2
13415801,scarcity,utilitarian,headphones,20.0,1,2,2
13416249,no,hedonic,chocolate,5.0,1,1,3
13416249,no,hedonic,headphones,50.0,1,1,2
13416249,no,utilitarian,chocolate,2.0,1,1,2
13416249,no,utilitarian,headphones,50.0,3,3,3
13416442,popularity,hedonic,chocolate,7.5,5,2,5
13416442,popularity,hedonic,headphones,30.0,3,5,3
13416442,popularity,utilitarian,chocolate,5.0,5,2,6
13416442,popularity,utilitarian,headphones,30.0,3,5,3
13416489,scarcity,hedonic,chocolate,0.0,1,3,3
13416489,scarcity,hedonic,headphones,0.0,1,3,3
13416489,scarcity,utilitarian,chocolate,10.0,6,4,4
13416489,scarcity,utilitarian,headphones,10.0,2,3,3
